#3;29;DistancebetweenBalls no compensation;;0.0000;0.0000;0.0000;0.0000;
193;5;northendwheelouterrim ;1;60.6903;99.3015;135.5593;;0.0000
194;5;northendwheelouterrim ;1;60.7044;106.1448;121.9503;;0.0000
195;5;northendwheelouterrim ;1;60.7308;119.3329;113.8958;;0.0000
196;5;northendwheelouterrim ;1;60.7615;134.0402;113.9037;;0.0000
197;5;northendwheelouterrim ;1;60.7839;146.9559;120.6114;;0.0000
198;5;northendwheelouterrim ;1;60.7976;153.9417;132.4657;;0.0000
199;5;northendwheelouterrim ;1;60.8657;155.4736;136.8157;;0.0000
200;5;northendwheelouterrim ;1;60.8084;155.1559;134.3355;;0.0000
#208;92;northendwheeleastedge ;1;58.1474;156.7615;140.6418;;0.0000
#209;92;northendwheeleastedge ;1;54.2103;156.9398;140.6533;;0.0000
#210;92;northendwheeleastedge ;1;45.6972;156.8737;140.6691;;0.0000
#211;92;northendwheeleastedge ;1;41.3268;156.7409;140.6605;;0.0000
#212;92;northendwheeleastedge ;1;37.3872;156.7963;140.6375;;0.0000
#213;92;northendwheeleastedge ;1;34.0933;156.7047;140.6100;;0.0000
#219;97;northendwheelwestedge ;1;58.4937;98.7691;137.2482;;0.0000
#220;97;northendwheelwestedge ;1;53.8685;98.8700;137.2528;;0.0000
#221;97;northendwheelwestedge ;1;50.5680;99.0130;137.2545;;0.0000
#222;97;northendwheelwestedge ;1;47.6471;99.0137;137.2614;;0.0000
#223;97;northendwheelwestedge ;1;44.7036;99.0132;137.2652;;0.0000
#230;102;northendwheeltopedge ;1;32.2768;156.4628;140.6093;;0.0000
#231;102;northendwheeltopedge ;1;32.2771;154.4517;140.6358;;0.0000
#232;102;northendwheeltopedge ;1;32.2773;152.8753;140.6546;;0.0000
#233;102;northendwheeltopedge ;1;32.2775;151.4396;140.6554;;0.0000
#234;102;northendwheeltopedge ;1;31.2783;103.1145;140.3920;;0.0000
#235;102;northendwheeltopedge ;1;31.2785;101.5794;140.4025;;0.0000
#236;102;northendwheeltopedge ;1;31.5780;100.0220;140.4126;;0.0000
#237;102;northendwheeltopedge ;1;31.5782;97.7311;140.4027;;0.0000
